MGI.symbol,HGNC.symbol
Gm23269,RNU6-656P
1700024G13Rik,C10orf53
Wipi1,WIPI1
Ggt5,GGT5
Esrra,ESRRA
Srl,SRL
Trav9n-4,TRAV8-1
Trav9n-4,TRAV8-3
Lgr5,LGR5
Tmem143,TMEM143
Zdhhc5,ZDHHC5
Tagln3,TAGLN3
Spata4,SPATA4
Zfp507,ZNF507
Fosl2,FOSL2
Gzmg,GZMB
Uso1,USO1
Rbm18,RBM18
Snx10,SNX10
Enpep,ENPEP
Ighv1-31,IGHV1-45
Ighv1-31,IGHV1-46
Ighv1-31,IGHV1-58
Ighv1-31,IGHV1-3
Ighv1-31,IGHV1-69
Ighv1-31,IGHV1-69-2
Ighv1-31,IGHV1-69D
Ripor1,RIPOR1
Scamp2,SCAMP2
Slc45a4,SLC45A4
Trbc2,TRBC1
Trbc2,TRBC2
Fzd6,FZD6
Adamts13,ADAMTS13
Map2k6,MAP2K6
Pyurf,PYURF
Zbtb3,ZBTB3
Tbx2,TBX2
Ddx31,DDX31
Zfyve28,ZFYVE28
Gm20838,SYCP3
Zmat1,ZMAT1
Gxylt1,GXYLT1
Hbq1a,HBQ1
Ccdc28a,CCDC28A
Phex,PHEX
Mtmr1,MTMR1
Htra3,HTRA3
Cpsf2,CPSF2
Dab2,DAB2
Snora24,SNORA24
Esrp1,ESRP1
Mfsd8,MFSD8
Trbv13-3,TRBV10-1
Trbv13-3,TRBV10-2
Trbv13-3,TRBV10-3
Dus4l,DUS4L
Rc3h2,RC3H2
Gm24764,RNU2-51P
Fry,FRY
Armcx5,ARMCX5
Tek,TEK
Unc5a,UNC5A
Crygn,CRYGN
Taf6l,TAF6L
Ginm1,GINM1
Gm24924,RNU1-136P
Gpatch1,GPATCH1
C5ar1,C5AR1
Septin11,SEPTIN11
Zyg11b,ZYG11B
Kremen2,KREMEN2
Lag3,LAG3
Ifna9,IFNA5
Ifna9,IFNA21
Pla2g4b,JMJD7-PLA2G4B
Pttg1,PTTG1
Hsd17b12,HSD17B12
Csmd3,CSMD3
Lmf2,LMF2
Dcaf5,DCAF5
Dmrtc2,DMRTC2
Trav9d-4,TRAV8-1
Trav9d-4,TRAV8-3
Ighv1-22,IGHV1-45
Ighv1-22,IGHV1-46
Ighv1-22,IGHV1-58
Ighv1-22,IGHV1-3
Ighv1-22,IGHV1-69
Ighv1-22,IGHV1-69-2
Ighv1-22,IGHV1-69D
Bag2,BAG2
Kansl2,KANSL2
Cyp4f39,CYP4F22
Snrnp200,SNRNP200
Gimap7,GIMAP7
Tti2,TTI2
Mpped2,MPPED2
Naaladl2,NAALADL2
Pik3c2g,PIK3C2G
Vps36,VPS36
Ufsp1,UFSP1
4930550C14Rik,C11orf65
Cd200r1,CD200R1
Ighv6-5,IGHV3-72
Ighv6-5,IGHV3-73
Dmac2l,DMAC2L
Dcaf8l,DCAF8L2
Gm23144,RNU6-990P
Qrfp,QRFP
Dgat1,DGAT1
Gm24817,RNU6-897P
Rmnd5b,RMND5B
Rab6a,RAB6A
Med7,MED7
Orc3,ORC3
Gm12695,C1orf87
Prrg3,PRRG3
Entpd1,ENTPD1
H2ac1,H2AC1
Hpse2,HPSE2
Ptprr,PTPRR
Clasrp,CLASRP
Pla2g15,PLA2G15
Mrps23,MRPS23
Sirt5,SIRT5
Nek9,NEK9
Hrc,HRC
Gm24518,SNORD116-5
Gm24518,SNORD116-1
Gm24518,SNORD116-3
Gm24016,SNORD54
Ube2r2,UBE2R2
Nubp2,NUBP2
Ngfr,NGFR
Ifnk,IFNK
Lrp1,LRP1
Lrtm2,LRTM2
Rab18,RAB18
Pbp2,PEBP1
Hyls1,HYLS1
Xpo5,XPO5
Gprasp2,GPRASP2
Txlnb,TXLNB
Atp5j2,ATP5MF
Dnajc5b,DNAJC5B
Dcun1d2,DCUN1D2
Mir147,MIR147B
Ecscr,ECSCR
Adprhl1,ADPRHL1
AA792892,PRAMEF18
AA792892,PRAMEF2
AA792892,PRAMEF4
AA792892,PRAMEF13
AA792892,PRAMEF10
AA792892,PRAMEF11
AA792892,PRAMEF1
AA792892,PRAMEF6
AA792892,PRAMEF5
AA792892,PRAMEF33
AA792892,PRAMEF7
AA792892,PRAMEF8
Pam16,PAM16
Gm50388,B4GAT1
A730046J19Rik,SERTM2
Sult2a6,SULT2A1
Spaca9,SPACA9
Hibch,HIBCH
Impg1,IMPG1
Sult5a1,SULT1A4
Sult5a1,SULT1A3
Cenpk,CENPK
Tmem199,TMEM199
Gm28042,JMJD7-PLA2G4B
Hs1bp3,HS1BP3
Gm2411,CLDN34
Pclaf,PCLAF
Cmc1,CMC1
C5ar2,C5AR2
Tomm70a,TOMM70
Snx18,SNX18
Irf2bpl,IRF2BPL
Trav14n-3,TRAV23DV6
Mrps18a,MRPS18A
Pdzrn3,PDZRN3
Mpeg1,MPEG1
Gab3,GAB3
Stxbp1,STXBP1
Fxr1,FXR1
Tmed8,TMED8
Mapk1ip1l,MAPK1IP1L
Sct,SCT
Klhdc7b,KLHDC7B
Casp9,CASP9
Igfbp7,IGFBP7
Gm24449,RNU6-212P
Trbv5,TRBV4-2
Trbv5,TRBV4-1
Ighmbp2,IGHMBP2
Apol11b,APOL3
Apol11b,APOL4
Apol11b,APOL2
Apol11b,APOL1
Ssc4d,SSC4D
Mlycd,MLYCD
Fbxo30,FBXO30
Errfi1,ERRFI1
Mtus2,MTUS2
Tmem39a,TMEM39A
Fam120b,FAM120B
Ska3,SKA3
Cachd1,CACHD1
Prrc2b,PRRC2B
Pus7,PUS7
Satb2,SATB2
Rps6ka1,RPS6KA1
Fcsk,FCSK
Il31,IL31
Mthfd1l,MTHFD1L
Adam28,ADAM28
Pgc,PGC
Serpinb1a,SERPINB1
Ears2,EARS2
Cyp4f14,CYP4F2
Zfp324,ZNF324B
Hilpda,HILPDA
Gm25184,RNU1-117P
Gm25184,RNU1-34P
Skil,SKIL
Eif3d,EIF3D
Zdhhc12,ZDHHC12
Bcam,BCAM
AU015836,CHCHD4
Sp6,SP6
Swap70,SWAP70
Nipal1,NIPAL1
Nemp1,NEMP1
Stk39,STK39
Rftn2,RFTN2
Gm26270,SNORD116-5
Gm26270,SNORD116-1
Gm26270,SNORD116-3
Ell3,ELL3
Tead2,TEAD2
Supv3l1,SUPV3L1
Gpr55,GPR55
Sh3glb1,SH3GLB1
Mgat5,MGAT5
Psma1,PSMA1
Mesp2,MESP2
Gm23377,SNORA17B
Sh3glb2,SH3GLB2
Ptpn1,PTPN1
Acp4,ACP4
Ddx50,DDX50
Ppp1r35,PPP1R35
Pramel26,PRAMEF18
Pramel26,PRAMEF2
Pramel26,PRAMEF4
Pramel26,PRAMEF13
Pramel26,PRAMEF10
Pramel26,PRAMEF11
Pramel26,PRAMEF1
Pramel26,PRAMEF6
Pramel26,PRAMEF5
Pramel26,PRAMEF33
Pramel26,PRAMEF7
Pramel26,PRAMEF8
Cblb,CBLB
Slc12a4,SLC12A4
Morn1,MORN1
Gatc,GATC
Dpp8,DPP8
Gm5155,CEACAM21
Trav11d,TRAV10
Coa5,COA5
Zmym6,ZMYM6
Cpsf1,CPSF1
9530077C05Rik,KIAA0895
Slc43a1,SLC43A1
Trav6d-4,TRAV9-2
Slc48a1,SLC48A1
Lrrc74a,LRRC74A
Rmdn3,RMDN3
Abcb1a,ABCB1
Sugp2,SUGP2
Apol10b,APOL3
Apol10b,APOL4
Apol10b,APOL2
Apol10b,APOL1
Gnpda2,GNPDA2
Rpl34,RPL34
Pikfyve,PIKFYVE
Rab1a,RAB1A
Ppm1e,PPM1E
Mir135a-2,MIR135A2
Cdk20,CDK20
Exoc4,EXOC4
Lipf,LIPF
Pla2g1b,PLA2G1B
Bphl,BPHL
Anapc4,ANAPC4
Cyp4a10,CYP4F12
Wasf1,WASF1
Cav3,CAV3
Oprm1,OPRM1
Rcn1,RCN1
Morn5,MORN5
Kazn,KAZN
Commd6,COMMD6
Chchd6,CHCHD6
Irf2bp1,IRF2BP1
Gm21366,SYCP3
Begain,BEGAIN
Zfp738,ZNF85
Zfp738,ZNF682
Zfp738,ZNF724
Gm23877,SNORA68B
Suclg1,SUCLG1
Zfp655,ZNF655
Trappc2l,TRAPPC2L
Kctd16,KCTD16
Arrdc3,ARRDC3
Syne3,SYNE3
Lrfn1,LRFN1
Usp44,USP44
Azi2,AZI2
Bag4,BAG4
Mesd,MESD
Ces5a,CES5A
Otud4,OTUD4
Gm24837,SNORD121A
Pnisr,PNISR
Gm23547,SCARNA12
Oog2,PRAMEF18
Oog2,PRAMEF2
Oog2,PRAMEF4
Oog2,PRAMEF13
Oog2,PRAMEF10
Oog2,PRAMEF11
Oog2,PRAMEF1
Oog2,PRAMEF6
Oog2,PRAMEF5
Oog2,PRAMEF33
Oog2,PRAMEF7
Oog2,PRAMEF8
Copz2,COPZ2
Lzts2,LZTS2
Fam205a4,FAM205A
Dnaja2,DNAJA2
Depdc1b,DEPDC1B
Apba3,APBA3
Gria1,GRIA1
Trav12-3,TRAV18
Iglv3,IGLV9-49
Apoo,APOO
Gm20929,SYCP3
Cpa1,CPA1
Aldob,ALDOB
Gm23240,RNU1-104P
Asic5,ASIC5
Smpd3,SMPD3
P2ry4,P2RY4
Gm22812,SNORD116-5
Gm22812,SNORD116-1
Gm22812,SNORD116-3
Ap5b1,AP5B1
Ank2,ANK2
Fmnl3,FMNL3
Cilp2,CILP2
Crabp1,CRABP1
Cldn34c4,CLDN34
Smurf1,SMURF1
Ccni,CCNI
Zbtb44,ZBTB44
Hyal1,HYAL1
Gm26128,RNU6-94P
Arl1,ARL1
Sim1,SIM1
Drd2,DRD2
Gm23947,RNU6-990P
Gm25918,RNU6-1014P
Bloc1s6,BLOC1S6
Myh9,MYH9
Zfp618,ZNF618
Tvp23a,TVP23A
Tpo,TPO
Gm22126,RNU1-11P
Soat2,SOAT2
Ifna6,IFNA5
Ifna6,IFNA21
Dzip3,DZIP3
Gm21497,SYCP3
Gm25474,SNORD116-5
Gm25474,SNORD116-1
Gm25474,SNORD116-3
Pramel23,PRAMEF18
Pramel23,PRAMEF2
Pramel23,PRAMEF4
Pramel23,PRAMEF13
Pramel23,PRAMEF10
Pramel23,PRAMEF11
Pramel23,PRAMEF1
Pramel23,PRAMEF6
Pramel23,PRAMEF5
Pramel23,PRAMEF33
Pramel23,PRAMEF7
Pramel23,PRAMEF8
Sult1e1,SULT1E1
Esr2,ESR2
Tmem129,TMEM129
Denr,DENR
Ntng2,NTNG2
H2-T10,HLA-E
Gm20870,SYCP3
Slc13a1,SLC13A1
Faap100,FAAP100
Prok2,PROK2
Prg3,PRG3
Hbq1b,HBQ1
Dmwd,DMWD
Mrps33,MRPS33
Gm12166,SFT2D1
Arf3,ARF3
Adipor2,ADIPOR2
Traf2,TRAF2
Ighv8-12,IGHV2OR16-5
Ighv8-12,IGHV2-5
Ighv8-12,IGHV2-70D
Ighv8-12,IGHV2-70
Aif1,AIF1
Dnah6,DNAH6
Pum3,PUM3
Znhit6,ZNHIT6
Car5a,CA5A
Zzz3,ZZZ3
Gm22302,RNU6-1104P
Med28,MED28
4930590J08Rik,C3orf20
Sec24c,SEC24C
Slc24a1,SLC24A1
Wrnip1,WRNIP1
Csnka2ip,CSNKA2IP
Dmrta2,DMRTA2
Msh2,MSH2
Ssxb9,SSX4B
Ssxb9,SSX2
Sorcs2,SORCS2
Gm22087,RNU6-960P
Magi2,MAGI2
Nr2f2,NR2F2
Gm24233,SNORA26
Faf2,FAF2
Ticrr,TICRR
Fsd1l,FSD1L
Gm22193,SNORD111B
Zfp457,ZNF85
Zfp457,ZNF682
Zfp457,ZNF724
Gm24735,RNU6-925P
Tbc1d10b,TBC1D10B
Gm23483,RNU6-194P
Lrit3,LRIT3
Ltbp1,LTBP1
Spry1,SPRY1
Tmem178,TMEM178A
Bmp2k,BMP2K
Psmb1,PSMB1
Primpol,PRIMPOL
Erich6,ERICH6
Slc27a1,SLC27A1
Fam151a,FAM151A
Msgn1,MSGN1
Eef1a1,EEF1A1
Mpp1,MPP1
Gprc5b,GPRC5B
Arhgef26,ARHGEF26
Sepsecs,SEPSECS
Pdia5,PDIA5
Mir486,MIR486-1
Trav5-1,TRAV13-1
Trav5-1,TRAV13-2
Emd,EMD
Gm23946,SNORA74C-2
Gm23946,SNORA74C-1
Gm12789,PRAMEF18
Gm12789,PRAMEF2
Gm12789,PRAMEF4
Gm12789,PRAMEF13
Gm12789,PRAMEF10
Gm12789,PRAMEF11
Gm12789,PRAMEF1
Gm12789,PRAMEF6
Gm12789,PRAMEF5
Gm12789,PRAMEF33
Gm12789,PRAMEF7
Gm12789,PRAMEF8
Snord73b,SNORD73B
Krt72,KRT72
Ino80e,INO80E
Defb15,DEFB108B
Cnbd1,CNBD1
Gm20877,SPIN2A
Elp1,ELP1
Tubgcp2,TUBGCP2
Tspan32,TSPAN32
Hs6st1,HS6ST1
Plin1,PLIN1
Hba-x,HBZ
Matn2,MATN2
Csrnp1,CSRNP1
Zfp879,ZNF879
Rabl2,RABL2B
Trav9-2,TRAV8-1
Trav9-2,TRAV8-3
Gm24676,RNU6-864P
Gm22656,RNU1-146P
A2m,A2M
Ptch1,PTCH1
Iqsec1,IQSEC1
Ppic,PPIC
Taf9b,TAF9B
Gpr173,GPR173
Megf9,MEGF9
Dennd1a,DENND1A
Gm21996,SYCP3
Calca,CALCA
Mfap1a,MFAP1
Minar2,MINAR2
Sbk1,SBK1
Cga,CGA
Apoh,APOH
Smyd5,SMYD5
Zfp493,ZNF195
Inhbb,INHBB
Czib,CZIB
4921524J17Rik,C16orf87
Muc16,MUC16
Tigar,TIGAR
Trim15,TRIM15
Ppm1l,PPM1L
Fance,FANCE
Timd2,HAVCR1
Sult2a5,SULT2A1
Gm24430,RNU6-491P
Fam124b,FAM124B
Zfp369,ZNF274
Psd2,PSD2
Gm24185,RNU6-1313P
Sharpin,SHARPIN
Serpinb9f,SERPINB9
Gm28576,SYCP3
Gm24313,SNORA5A
Rhcg,RHCG
Fbxo43,FBXO43
Adamts8,ADAMTS8
Gm20422,ZNF627
Cpa2,CPA2
Sis,SI
Klk1,KLK2
Klk1,KLK1
Msx2,MSX2
Sall2,SALL2
Fxn,FXN
Vgll3,VGLL3
Nfia,NFIA
Pycard,PYCARD
Erich2,ERICH2
Npas3,NPAS3
Rabgef1,RABGEF1
Add2,ADD2
Slc25a34,SLC25A34
Ccdc136,CCDC136
Pla2g4c,PLA2G4C
Armc8,ARMC8
Acrv1,ACRV1
Snip1,SNIP1
Rprml,RPRML
Syt5,SYT5
Ssxa1,SSX4B
Ssxa1,SSX2
Ywhaq,YWHAQ
Hoxb8,HOXB8
Asb1,ASB1
Washc2,WASHC2A
Trav12d-2,TRAV18
Aars,AARS1
Slc22a13,SLC22A13
Gmfg,GMFG
Nol10,NOL10
Gpnmb,GPNMB
Ighv1-43,IGHV1-45
Ighv1-43,IGHV1-46
Ighv1-43,IGHV1-58
Ighv1-43,IGHV1-3
Ighv1-43,IGHV1-69
Ighv1-43,IGHV1-69-2
Ighv1-43,IGHV1-69D
Gen1,GEN1
Ston1,STON1-GTF2A1L
Tenm4,TENM4
Gm24134,SNORD36A
Snd1,SND1
Gm20828,SPIN2A
Atp8a1,ATP8A1
Tas2r108,TAS2R4
Bco1,BCO1
Zfp839,ZNF839
Ccdc9,CCDC9
Pcsk1,PCSK1
Ighv7-2,IGHV3-72
Ighv7-2,IGHV3-73
Gm21854,SPIN2A
Gm23275,RNU6-92P
En2,EN2
Gapdhs,GAPDHS
Ctnnal1,CTNNAL1
Slc38a3,SLC38A3
Acsl1,ACSL1
Timd4,TIMD4
Aen,AEN
Nudt4,NUDT4
Ehd3,EHD3
Myo9a,MYO9A
Ifrd1,IFRD1
Gm22879,SNORD36B
Noxa1,NOXA1
Gm2a,GM2A
Atn1,ATN1
Trbv16,TRBV12-3
Trbv16,TRBV12-4
Ly6g6c,LY6G6C
Hsd17b13,HSD17B13
Spred2,SPRED2
Gm22941,SNORD116-5
Gm22941,SNORD116-1
Gm22941,SNORD116-3
Gm23767,SNORD116-5
Gm23767,SNORD116-1
Gm23767,SNORD116-3
Gm49339,LAIR2
Gm22542,RNU6-987P
Mcm7,MCM7
Tg,TG
Gm25634,RNU6-729P
Gm25634,RNU6-993P
Ldlrap1,LDLRAP1
Micu2,MICU2
Hells,HELLS
Tmod3,TMOD3
Ift80,IFT80
Them6,THEM6
Fndc1,FNDC1
Lacc1,LACC1
Clcf1,CLCF1
Phkb,PHKB
A830018L16Rik,C8orf34
Gm20924,SPIN2A
Gm20390,NME1-NME2
Olfm1,OLFM1
Sfmbt1,SFMBT1
Cpeb2,CPEB2
Gm23446,SNORD116-5
Gm23446,SNORD116-1
Gm23446,SNORD116-3
Gabra2,GABRA2
Gal3st2b,GAL3ST2
Gm21117,SYCP3
Atg10,ATG10
Ift74,IFT74
Poc1b,POC1B
Ptgir,PTGIR
Cep57,CEP57
Gm20865,SPIN2A
Fam205a3,FAM205A
Lat2,LAT2
Bfsp2,BFSP2
Map3k15,MAP3K15
Cldn34c1,CLDN34
C3,C3
Cntn1,CNTN1
Rab11fip3,RAB11FIP3
Adgre1,ADGRE1
Pigo,PIGO
Gm28557,ZNF195
Slc6a7,SLC6A7
Insm2,INSM2
Cep152,CEP152
Gm25074,SNORD116-5
Gm25074,SNORD116-1
Gm25074,SNORD116-3
Rlbp1,RLBP1
Ighv14-3,IGHV1-45
Ighv14-3,IGHV1-46
Ighv14-3,IGHV1-58
Ighv14-3,IGHV1-3
Ighv14-3,IGHV1-69
Ighv14-3,IGHV1-69-2
Ighv14-3,IGHV1-69D
Zbtb25,ZBTB25
Rasl11b,RASL11B
Phf20l1,PHF20L1
Gnat1,GNAT1
Tdo2,TDO2
Pnpla1,PNPLA1
Uba2,UBA2
Sec16a,SEC16A
Caly,CALY
Thap11,THAP11
Gm24623,RNU2-54P
Tgfbi,TGFBI
Tmem156,TMEM156
Psmc5,PSMC5
Slc17a1,SLC17A1
Ublcp1,UBLCP1
Neurl1b,NEURL1B
Gria2,GRIA2
Sars2,SARS2
Klhdc10,KLHDC10
Gm45261,CCDC195
Sema3e,SEMA3E
Pdia2,PDIA2
Esam,ESAM
Faim2,FAIM2
Asphd1,ASPHD1
Zfp2,ZFP2
Slc17a5,SLC17A5
Cd6,CD6
Stag2,STAG2
Spin2c,SPIN2A
Tmem176a,TMEM176A
Mindy4b-ps,MINDY4B
Pop5,POP5
Gm22809,RNU1-51P
Gm22809,RNU1-124P
Cdhr3,CDHR3
Ciapin1,CIAPIN1
Fzd8,FZD8
Mfap1b,MFAP1
Armc10,ARMC10
Abo,ABO
Tmem176b,TMEM176B
Gm24202,RNU6-1056P
Cep68,CEP68
Lsm3,LSM3
Rbm27,RBM27
Zfp248,ZNF248
Stt3a,STT3A
Wnk4,WNK4
Gm21637,SPIN2A
Zc3hc1,ZC3HC1
Ciz1,CIZ1
Car8,CA8
Cracr2b,CRACR2B
Kcnv1,KCNV1
H2-M5,HLA-E
Mapk14,MAPK14
Asap2,ASAP2
Rsl24d1,RSL24D1
Arxes2,SPCS3
Slc5a8,SLC5A8
Kcnk16,KCNK16
Htr5a,HTR5A
Six2,SIX2
Ankrd27,ANKRD27
Tnfrsf11b,TNFRSF11B
Fen1,FEN1
Cby1,CBY1
Zeb1,ZEB1
Relb,RELB
Efl1,EFL1
Pramel12,PRAMEF18
Pramel12,PRAMEF2
Pramel12,PRAMEF4
Pramel12,PRAMEF13
Pramel12,PRAMEF10
Pramel12,PRAMEF11
Pramel12,PRAMEF1
Pramel12,PRAMEF6
Pramel12,PRAMEF5
Pramel12,PRAMEF33
Pramel12,PRAMEF7
Pramel12,PRAMEF8
Srd5a3,SRD5A3
Grm8,GRM8
Taar8b,TAAR8
Prss1,PRSS3
Tmem182,TMEM182
Dclre1a,DCLRE1A
Fam166c,FAM166C
Vps33b,VPS33B
Glt1d1,GLT1D1
Cdh12,CDH12
Epas1,EPAS1
Frg2f1,FRG2
Bicd1,BICD1
Khdrbs2,KHDRBS2
F13a1,F13A1
Gm26032,SNORD116-5
Gm26032,SNORD116-1
Gm26032,SNORD116-3
Socs5,SOCS5
Trappc11,TRAPPC11
Nbea,NBEA
Vwa5a,VWA5A
Rbis,RBIS
Csnk1g1,CSNK1G1
Plek2,PLEK2
Supt20,SUPT20H
Grm6,GRM6
Idi1,IDI1
Decr1,DECR1
Gm20822,SPIN2A
Amdhd1,AMDHD1
Uvssa,UVSSA
Neu1,NEU1
Atl2,ATL2
Steap1,STEAP1B
Fabp3,FABP3
Adi1,ADI1
Siah1b,SIAH1
Gm26214,RNU6-1151P
Tmem62,TMEM62
Sc5d,SC5D
Gm23035,RNU6-193P
Mcmbp,MCMBP
Pira2,LILRB4
Tmem259,TMEM259
Hoxb6,HOXB6
B4galnt1,B4GALNT1
Gm20831,SPIN2A
Hnf4g,HNF4G
Rbm15b,RBM15B
Trex2,TREX2
Nrg1,NRG1
Cfb,CFB
E130308A19Rik,KIAA1958
Fkbpl,FKBPL
Ap4s1,AP4S1
Fhdc1,FHDC1
Cnga2,CNGA2
Dab2ip,DAB2IP
Prodh,PRODH
Gm24218,RNU6-194P
Magoh,MAGOH
Gm24491,RNU6-583P
Gm24491,RNU6-205P
Mir96,MIR96
Nnmt,NNMT
Cpa5,CPA5
Sult2a1,SULT2A1
Gm20869,SYCP3
Camk4,CAMK4
Dtymk,DTYMK
Gm648,CT45A1
Gm648,CT45A10
Gm648,SAGE1
Gm648,CT45A7
Npbwr1,NPBWR1
Gm23680,RNVU1-32
Adgb,ADGB
Actbl2,ACTBL2
Fzd1,FZD1
Tas2r138,TAS2R38
Mrpl23,MRPL23
Ube3c,UBE3C
Gm24618,SNORD116-5
Gm24618,SNORD116-1
Gm24618,SNORD116-3
Nlrp6,NLRP6
Stam2,STAM2
Sptlc1,SPTLC1
Aldh5a1,ALDH5A1
Mir29b-1,MIR29B1
Slc22a12,SLC22A12
Mbd6,MBD6
Zer1,ZER1
Trp53,TP53
Gm24508,RNU6-953P
Ddn,DDN
Gm25828,RNU6-159P
Serpinf2,SERPINF2
Clca4a,CLCA4
Slx,SYCP3
Txk,TXK
Grik3,GRIK3
Dbr1,DBR1
Dlgap5,DLGAP5
Gm28827,SYCP3
Ppara,PPARA
Cep57l1,CEP57L1
Cep170b,CEP170B
Vwa7,VWA7
Gm20795,SPIN2A
Synpo,SYNPO
Gm22128,SNORD116-5
Gm22128,SNORD116-1
Gm22128,SNORD116-3
Lpxn,LPXN
Adgra1,ADGRA1
Adam18,ADAM18
Trav13-1,TRAV22
Atp4a,ATP4A
Mill2,MICB
Il3,IL3
Pop1,POP1
Btbd6,BTBD6
Ptms,PTMS
Nhs,NHS
Ssxb8,SSX4B
Ssxb8,SSX2
Asb17,ASB17
Scn4b,SCN4B
Dyrk2,DYRK2
Tas2r139,TAS2R39
Gm23025,RNU6-531P
Trav15n-2,TRDV1
Snap25,SNAP25
Spink11,SPINK9
Car2,CA2
Ifna5,IFNA5
Ifna5,IFNA21
Abl1,ABL1
Sf3b6,SF3B6
Afap1l1,AFAP1L1
1700018B08Rik,C16orf95
Pnma3,PNMA3
Fbp1,FBP1
Ajap1,AJAP1
Pax1,PAX1
Mas1,MAS1
Cptp,CPTP
Slco6d1,SLCO6A1
Gm22047,SNORD116-5
Gm22047,SNORD116-1
Gm22047,SNORD116-3
Spag1,SPAG1
Gm20815,SPIN2A
Plpp3,PLPP3
Kcnk10,KCNK10
Rnf7,RNF7
Trim23,TRIM23
Trav16n,TRAV19
Abcd2,ABCD2
Clstn1,CLSTN1
Nup188,NUP188
Cyb5r3,CYB5R3
Hsd17b2,HSD17B2
Plcl2,PLCL2
Lrrc38,LRRC38
Rab23,RAB23
Bcl2a1c,BCL2A1
Ddx25,DDX25
Pin1rt1,PIN1
P2ry1,P2RY1
Snx4,SNX4
Gucy1a1,GUCY1A1
Ctns,CTNS
Trav6n-5,TRAV9-1
Gna12,GNA12
Arxes1,SPCS3
Sv2c,SV2C
Cdh9,CDH9
Gm24453,SNORD28B
Gm24453,SNORD28
Wwp1,WWP1
Gm28035,LRRC8A
Cpe,CPE
Dock9,DOCK9
Acot9,ACOT9
Crybb3,CRYBB3
L3mbtl3,L3MBTL3
Gltp,GLTP
Gm22953,MIR1282
Orm3,ORM2
Orm3,ORM1
Aif1l,AIF1L
Usp3,USP3
Wdr31,WDR31
Slc25a27,SLC25A27
Dse,DSE
Sh3gl3,SH3GL3
Gm24536,RNU6-990P
Ighv8-5,IGHV2OR16-5
Ighv8-5,IGHV2-5
Ighv8-5,IGHV2-70D
Ighv8-5,IGHV2-70
Mrps11,MRPS11
Tnik,TNIK
Dlx2,DLX2
Matn3,MATN3
Lig4,LIG4
Sigirr,SIGIRR
Ucp1,UCP1
Stox1,STOX1
Erich5,ERICH5
Lipm,LIPM
Pld6,PLD6
Rpe65,RPE65
Mir30d,MIR30D
Opalin,OPALIN
Prdm16,PRDM16
Gm5935,SYCP3
Slc38a9,SLC38A9
Oxsr1,OXSR1
Faxc,FAXC
Cckar,CCKAR
Cmtm7,CMTM7
Yipf5,YIPF5
Acat1,ACAT1
Dnali1,DNALI1
Il18,IL18
Pik3r1,PIK3R1
Lcor,LCOR
Gm26130,SNORA29
Spdya,SPDYA
Ssxb10,SSX4B
Ssxb10,SSX2
Zfc3h1,ZFC3H1
Siah1a,SIAH1
Trdv2-2,TRAV38-1
Trdv2-2,TRAV38-2DV8
Ms4a4d,MS4A4A
Mug1,PZP
Auts2,AUTS2
Lrfn5,LRFN5
Otud1,OTUD1
Vash1,VASH1
Gm20792,SYCP3
Foxred2,FOXRED2
Cacng1,CACNG1
Gm21861,SYCP3
Npas4,NPAS4
Gimap3,GIMAP1-GIMAP5
Tmem185b,TMEM185B
Stk10,STK10
Galns,GALNS
Fbxo17,FBXO17
Plek,PLEK
Stau2,STAU2
Matn4,MATN4
Ube2e2,UBE2E2
Gm25848,SNORA79
Shisa2,SHISA2
Gm5771,PRSS3
Tsga10,TSGA10
Gpr20,GPR20
Mrtfb,MRTFB
Ppp2r1a,PPP2R1A
Trip10,TRIP10
Gm23313,SNORD116-5
Gm23313,SNORD116-1
Gm23313,SNORD116-3
Cct2,CCT2
Taok3,TAOK3
Rbm22,RBM22
Slxl1,SYCP3
Fxr2,FXR2
Sox17,SOX17
Rtn2,RTN2
Lix1,LIX1
Gpr153,GPR153
Sdcbp,SDCBP
Epo,EPO
Krt80,KRT80
Fam184b,FAM184B
Enox1,ENOX1
Chmp3,CHMP3
Chmp3,RNF103-CHMP3
Fam219b,FAM219B
Ccdc191,CCDC191
Ccdc60,CCDC60
Tnks1bp1,TNKS1BP1
Agk,AGK
Snord107,SNORD107
Dnajc8,DNAJC8
Pskh1,PSKH1
Crb3,CRB3
Stag1,STAG1
Gm25944,SNORD116-5
Gm25944,SNORD116-1
Gm25944,SNORD116-3
Arhgef25,ARHGEF25
Pxdc1,PXDC1
Rad52,RAD52
Rnu12,RNU12
Ambp,AMBP
Gnpda1,GNPDA1
Pde4a,PDE4A
Ptprh,PTPRH
Lrrc49,LRRC49
Iqck,IQCK
Xrcc5,XRCC5
Slc35d3,SLC35D3
Npm3,NPM3
Ctrb1,CTRB2
Ctrb1,CTRB1
Scgb1c1,SCGB1C2
Scgb1c1,SCGB1C1
Pbx4,PBX4
Steap3,STEAP3
Chrna10,CHRNA10
Dnajb5,DNAJB5
Eef1akmt3,EEF1AKMT3
Neil2,NEIL2
Ogfrl1,OGFRL1
Gm24317,RNU6-1074P
Fbxw7,FBXW7
Sat2,SAT2
1700030K09Rik,C19orf44
Josd1,JOSD1
Sla,SLA
Gm10058,SYCP3
Rab4b,RAB4B-EGLN2
Rab4b,RAB4B
Podn,PODN
Rala,RALA
Trpv5,TRPV5
